"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"54","Bucephala clangula","bucephalaclangula",6,"DM","Jenkins_et_al_2007","6000","m",3000,"CJL","Hein_Gillooly_2011","3000","km",110000,"SDS","Bowman_2003","11","ha",0.92,"Hein_Gillooly_2011","",4,"MG","Carnivore/Aquatic predator","Pigot_etal_2020","","","46900000","IUCN (estimated extent of occurrence)",NA,0.11,0.187120515925478,"AVES","Bucephala clangula"
"55","Ficedula hypoleuca","ficedulahypoleuca",56,"DM","Jenkins_et_al_2007","56000","m",7000,"CJL","Hein_Gillooly_2011","7000","km",14000,"SDS","Bowman_2003","1.4","ha",0.016,"Hein_Gillooly_2011","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","5580000","IUCN (estimated extent of occurrence)",NA,0.014,0.0667558117812455,"AVES","Ficedula hypoleuca"
"56","Acinonyx jubatus","acinonyxjubatus",20,"CJL","Santini_2013","20","km (max)",40,"CJL","Hein_Gillooly_2011","40","km",1.61e+08,"MG","Broomhall_etal_2003","161","km2",50,"Tamburello_etal","sds",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","18760352.38","IUCN (estimated extent of occurrence)",NA,161,7.15876327835963,"MAMMALIA","Acinonyx jubatus"
"57","Phylloscopus trochilus","phylloscopustrochilus",20.8,"MG","Prugh_etal","20.8","Km",15000,"CJL","Hein_Gillooly_2011","15000","km",2800,"CF","Calder_1990","0.28","ha",0.0087,"Hein_Gillooly_2011","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","flying","Hirt_etal","22200000","IUCN (estimated extent of occurrence)",NA,0.0028,0.0298541066072092,"AVES","Phylloscopus trochilus"
"58","Chroicocephalus ridibundus","chroicocephalusridibundus",189.5,"CJL","Jenkins_et_al_2007","189500","m",4000,"CJL","Hein_Gillooly_2011","4000","km",1.08e+09,"yes","Gorke_Brandl_1986","","",0.28,"Hein_Gillooly_2011","",4,"SDS","Carnivore/Aquatic predator","Pigot_etal_2020","","","44500000","IUCN (estimated extent of occurrence)",NA,1080,18.5411616971131,"NA","Chroicocephalus ridibundus"
"59","Larus fuscus","larusfuscus",202,"DM","Jenkins_et_al_2007","202000","m",6500,"CJL","Hein_Gillooly_2011","6500","km",1.61e+08,"SDS - was 1.13e8, new source","Thaxter_etal_2015","161","km2",0.8,"Hein_Gillooly_2011","",4,"SDS","Carnivore/Aquatic predator","Pigot_etal_2020","","","153000","IUCN (estimated extent of occurrence)",NA,161,7.15876327835963,"AVES","Larus fuscus"
"60","Connochaetes taurinus","connochaetestaurinus",170,"CF","Georgiadis_in_Sinclair_1995","170","km - estimated from map of distance between 2 pops with gene flow",400,"CJL","Hein_Gillooly_2011","400","km",20000,"CJL","Grant_etal_1992","0.02","km2",140,"Hein_Gillooly_2011","",4,"MG","Herbivore/Folivore","EOL","running","Hirt_etal","","",NA,0.02,0.0797884560802865,"MAMMALIA","Connochaetes taurinus"
"61","Sylvia communis","sylviacommunis",52.4,"DM","Jenkins_et_al_2007","52400","m",9000,"CJL","Hein_Gillooly_2011","9000","km",2000,"CJL","Halupka_2002","0.2","ha",0.018,"Hein_Gillooly_2011","",4,"CF","Omnivore/Invertivore","Pigot_etal_2020","","","23000000","IUCN (estimated extent of occurrence)",NA,0.002,0.0252313252202016,"AVES","Sylvia communis"
"62","Cervus canadensis","cervuscanadensis",18.5,"DM","Jenkins_et_al_2007","18500","m",190,"CJL","Hein_Gillooly_2011","190","km",12925400,"SDS","Harestad_etal_1979","1292.54","ha",270,"Hein_Gillooly_2011","",4,"","Herbivore/Grazer","EOL","running","Hirt_etal","","",NA,12.9254,2.02836944437644,"MAMMALIA","Cervus canadensis"
"63","Carcharodon carcharias","carcharodoncarcharias",1450,"DM","Jenkins_et_al_2007","1445000","m",11000,"CJL","Hein_Gillooly_2011","11000","km",7855000,"CF","Jewell_et_al_2014","","",550,"Hein_Gillooly_2011","yes",4,"CJL","Carnivore","EOL","swimming","Hirt_etal","","",NA,7.855,1.58124133388097,"CHONDRICHTHYES","Carcharodon carcharias"
"64","Aythya fuligula","aythyafuligula",0.228,"CF","Blums et al. 2003","228","m (average dispersal distance in mark recapture study)",4500,"CJL","Hein_Gillooly_2011","4500","km",380,"SDS","Kear_2005","","",0.66,"Hein_Gillooly_2011","",4,"PT","Omnivore/Herbivore aquatic","Pigot_etal_2020","","","34900000","IUCN (estimated extent of occurrence)",NA,0.00038,0.0109980796846468,"AVES","Aythya fuligula"
"65","Canis lupus","canislupus",886,"DM","Jenkins_et_al_2007","886000","m",500,"CJL","Hein_Gillooly_2011","500","km",62500000,"SDS","Lindstedt et al (1986)","6250","ha",37,"Hein_Gillooly_2011","",4,"","Carnivore","EOL","running","Hirt_etal",">20000","IUCN (estimated extent of occurrence)",NA,62.5,4.46031029038193,"MAMMALIA","Canis lupus"
