"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"507",NA,"ralluslimicola",NA,"",NA,"","",1656,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.082,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"508",NA,"cyanocittacristata",NA,"",NA,"","",27,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.087,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"509",NA,"falconewtoni",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.09,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"510",NA,"turdusilaris",NA,"",NA,"","",5000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.098,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"511",NA,"limnodromusscolopaceus",NA,"",NA,"","",5770.1,"","Horton_2018","","",NA,"",NA,"","",0.1044,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"512",NA,"sternadougallii",NA,"",NA,"","",6000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.11,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"513",NA,"quiscalusquiscula",NA,"",NA,"","",855,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.114,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"514",NA,"pluvialisfulva",NA,"",NA,"","",4219,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.12,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"515",NA,"tringatotanus",NA,"",NA,"","",6500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.12,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"516",NA,"calidriscanutus",NA,"",NA,"","",8711,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.15,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"517",NA,"bartramialongicauda",NA,"",NA,"","",9372.1,"","Horton_2018","","",NA,"",NA,"","",0.151,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"518",NA,"pluvialisdominica",NA,"",NA,"","",11962.8,"","Horton_2018","","",NA,"",NA,"","",0.1515,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"519",NA,"couareynaudii",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.153,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"520",NA,"accipiterfrancesiae",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.159,"","",2,"","Carnivore ","Pigot_etal_2020","","","","",NA,NA,NA,"NA",NA
"521",NA,"clupeaharengus",NA,"",NA,"","",1500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.16,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"522",NA,"centropustoulou",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.161,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"523",NA,"tringamelanoleuca",NA,"",NA,"","",7123.1,"","Horton_2018","","",NA,"",NA,"","",0.162,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"524","Clamator glandarius","clamatorglandarius",NA,"",NA,"","",2000,"","moller_etal_2004","","",NA,"",NA,"","",0.167,"Moller_etal_2004","",2,"","","","","","","",NA,NA,NA,"AVES","Clamator glandarius"
"525",NA,"alectroenasmadagascariensis",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.173,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"526",NA,"himantopushimantopus",NA,"",NA,"","",794.6,"","Horton_2018","","",NA,"",NA,"","",0.1768,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"527",NA,"cololabissaira",NA,"",NA,"","",500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.18,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"528",NA,"philemoncorniculatus",NA,"",NA,"","",1600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.18,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"529",NA,"sternafuscata",NA,"",NA,"","",10000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.18,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"530",NA,"dryolimnascuvieri",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.183,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"531",NA,"accipitermadagascariensis",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.206,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"532",NA,"calidristenuirostris",NA,"",NA,"","",5400,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.24,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"533",NA,"vanellusvanellus",NA,"",NA,"","",4500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.24,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"534",NA,"couacaerulea",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.243,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"535","Pyrrhocorax graculus","pyrrhocoraxgraculus",NA,"",NA,"","",0,"","Moller_etal_2004","","",NA,"",NA,"","",0.245,"Moller_etal_2005","",2,"","","","","","","",NA,NA,NA,"AVES","Pyrrhocorax graculus"
"536",NA,"tringasemipalmata",NA,"",NA,"","",3023.2,"","Horton_2018","","",NA,"",NA,"","",0.2457,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"537",NA,"pluvialissquatarola",NA,"",NA,"","",6880.8,"","Horton_2018","","",NA,"",NA,"","",0.25,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"538",NA,"limosahaemastica",NA,"",NA,"","",12785.2,"","Horton_2018","","",NA,"",NA,"","",0.2533,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"539",NA,"leptosomusdiscolor",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.255,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"540",NA,"treronaustralis",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.256,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"541",NA,"numeniusborealis",NA,"",NA,"","",14000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.26,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"542",NA,"alosapseudoharengus",NA,"",NA,"","",140,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.28,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"543",NA,"alosasapidissima",NA,"",NA,"","",370,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.28,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"544",NA,"alosaaestivalis",NA,"",NA,"","",140,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.29,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"545",NA,"avicedamadagascariensis",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.292,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"546",NA,"thalasseusbergii",NA,"",NA,"","",1600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.3,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"547",NA,"lithobatescatesbeianus",NA,"",NA,"","",1.08393,"","Trochet_etal","","",NA,"",NA,"","",0.30723,"Trochet_etal","",2,"","","","","","","",NA,NA,NA,"NA",NA
"548",NA,"anasquerquedula",NA,"",NA,"","",9000,"","Hein_Gillooly_2011, kg = Hone  et al avian data","","",NA,"",NA,"","",0.33,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"549",NA,"scolopaxminor",NA,"",NA,"","",951,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.352,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"550",NA,"limosafedoa",NA,"",NA,"","",2700.9,"","Horton_2018","","",NA,"",NA,"","",0.357,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"551",NA,"bubulcusibis",NA,"",NA,"","",1945,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.366,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"552",NA,"limosalapponica",NA,"",NA,"","",12000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.37,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"553",NA,"spatulacyanoptera",NA,"",NA,"","",1090,"","Horton_2018","","",NA,"",NA,"","",0.3775,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"554","Regulus satrapa","regulussatrapa",NA,"",NA,"","",812.1,"","Horton_2018","","",NA,"",NA,"","",0.3992675,"","",2,"","","","","","","",NA,NA,NA,"AVES","Regulus satrapa"
"555",NA,"anasdiscors",NA,"",NA,"","",3564,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.4,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"556","Regulus calendula","reguluscalendula",NA,"",NA,"","",2076.3,"","Horton_2018","","",NA,"",NA,"","",0.4147575,"","",2,"","","","","","","",NA,NA,NA,"AVES","Regulus calendula"
"557",NA,"couagigas",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.423,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"558",NA,"setophagadiscolor",NA,"",NA,"","",1785.1,"","Horton_2018","","",NA,"",NA,"","",0.4412535,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"559",NA,"numeniustenuirostris",NA,"",NA,"","",6000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.45,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"560",NA,"sternamaxima",NA,"",NA,"","",8000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.45,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"561",NA,"wilsoniapusilla",NA,"",NA,"","",3952.2,"","Horton_2018","","",NA,"",NA,"","",0.452244,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"562",NA,"buteoplatypterus",NA,"",NA,"","",4826,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.455,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"563",NA,"puffinuspuffinus",NA,"",NA,"","",12000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.46,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"564",NA,"vermivoraruficapilla",NA,"",NA,"","",2695.1,"","Horton_2018","","",NA,"",NA,"","",0.475022,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"565",NA,"vermivoracelata",NA,"",NA,"","",2906,"","Horton_2018","","",NA,"",NA,"","",0.4862885,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"566",NA,"vermivoraperegrina",NA,"",NA,"","",4825.6,"","Horton_2018","","",NA,"",NA,"","",0.4944485,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"567",NA,"setophagachrysoparia",NA,"",NA,"","",1992.7,"","Horton_2018","","",NA,"",NA,"","",0.5027675,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"568",NA,"setophagapalmarum",NA,"",NA,"","",3084.5,"","Horton_2018","","",NA,"",NA,"","",0.5081695,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"569","Sitta canadensis","sittacanadensis",NA,"",NA,"","",426.9,"","Horton_2018","","",NA,"",NA,"","",0.515248,"","",2,"","","","","","","",NA,NA,NA,"AVES","Sitta canadensis"
"570",NA,"wilsoniacitrina",NA,"",NA,"","",1943.4,"","Horton_2018","","",NA,"",NA,"","",0.516815,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"571",NA,"setophagatigrina",NA,"",NA,"","",4126.9,"","Horton_2018","","",NA,"",NA,"","",0.518481,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"572",NA,"spizellapallida",NA,"",NA,"","",2910.2,"","Horton_2018","","",NA,"",NA,"","",0.5442365,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"573",NA,"setophagacastanea",NA,"",NA,"","",4287.6,"","Horton_2018","","",NA,"",NA,"","",0.544878,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"574",NA,"oxyurajamaicensis",NA,"",NA,"","",1176.9,"","Horton_2018","","",NA,"",NA,"","",0.545,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"575",NA,"setophagacoronata",NA,"",NA,"","",2723.5,"","Horton_2018","","",NA,"",NA,"","",0.5551875,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"576",NA,"puffinustenuirostris",NA,"",NA,"","",12000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.56,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"577",NA,"empidonaxflaviventris",NA,"",NA,"","",4053.9,"","Horton_2018","","",NA,"",NA,"","",0.5665445,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"578",NA,"limnothlypisswainsonii",NA,"",NA,"","",1603.9,"","Horton_2018","","",NA,"",NA,"","",0.5687855,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"579",NA,"mniotiltavaria",NA,"",NA,"","",3219.7,"","Horton_2018","","",NA,"",NA,"","",0.5696415,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"580",NA,"polyboroidesradiatus",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.57,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"581",NA,"empidonaxalnorum",NA,"",NA,"","",7184.7,"","Horton_2018","","",NA,"",NA,"","",0.5714635,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"582",NA,"ammodramusleconteii",NA,"",NA,"","",2227.1,"","Horton_2018","","",NA,"",NA,"","",0.5764395,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"583",NA,"lophotibiscristata",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.583,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"584",NA,"setophagapinus",NA,"",NA,"","",752.2,"","Horton_2018","","",NA,"",NA,"","",0.583,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"585",NA,"numeniusamericanus",NA,"",NA,"","",2005,"","Horton_2018","","",NA,"",NA,"","",0.5839,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"586",NA,"plegadisfalcinellus",NA,"",NA,"","",239,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.595,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"587",NA,"oporornisagilis",NA,"",NA,"","",6587.6,"","Horton_2018","","",NA,"",NA,"","",0.5975895,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"588",NA,"vireosolitarius",NA,"",NA,"","",2735,"","Horton_2018","","",NA,"",NA,"","",0.600703,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"589",NA,"passerinaciris",NA,"",NA,"","",1569.9,"","Horton_2018","","",NA,"",NA,"","",0.604,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"590",NA,"spatulaclypeata",NA,"",NA,"","",3495.2,"","Horton_2018","","",NA,"",NA,"","",0.6126,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"591",NA,"anasclypeata",NA,"",NA,"","",3317,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.613,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"592",NA,"plegadischihi",NA,"",NA,"","",343.9,"","Horton_2018","","",NA,"",NA,"","",0.6169,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"593",NA,"vireophiladelphicus",NA,"",NA,"","",4078.9,"","Horton_2018","","",NA,"",NA,"","",0.6281975,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"594",NA,"fulicaamericana",NA,"",NA,"","",1119,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.642,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"595",NA,"calcariusornatus",NA,"",NA,"","",1780.5,"","Horton_2018","","",NA,"",NA,"","",0.6601155,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"596",NA,"icterusspurius",NA,"",NA,"","",2485.6,"","Horton_2018","","",NA,"",NA,"","",0.661,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"597",NA,"phedinaborbonica",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.673472,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"598",NA,"buteobrachypterus",NA,"",NA,"","",0,"","Razafindratsima_etal_2018","","",NA,"",NA,"","",0.68,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"599",NA,"mergellusalbellus",NA,"",NA,"","",4500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.68,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"600",NA,"falconaumanni",NA,"",NA,"","",8600,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.7,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"601",NA,"scomberscombrus",NA,"",NA,"","",2200,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.7,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"602",NA,"aythyacollaris",NA,"",NA,"","",2337.2,"","Horton_2018","","",NA,"",NA,"","",0.705,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"603",NA,"icteruscucullatus",NA,"",NA,"","",1060.1,"","Horton_2018","","",NA,"",NA,"","",0.7050485,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"604",NA,"botauruslentiginosus",NA,"",NA,"","",2208,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.706,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"605",NA,"sayornissaya",NA,"",NA,"","",2404,"","Horton_2018","","",NA,"",NA,"","",0.71602,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"606",NA,"calcariuspictus",NA,"",NA,"","",3542,"","Horton_2018","","",NA,"",NA,"","",0.723463,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"607",NA,"catharusguttatus",NA,"",NA,"","",2052.6,"","Horton_2018","","",NA,"",NA,"","",0.734399,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"608",NA,"myiarchuscinerascens",NA,"",NA,"","",1365.9,"","Horton_2018","","",NA,"",NA,"","",0.7372125,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"609",NA,"catharusustulatus",NA,"",NA,"","",5715.2,"","Horton_2018","","",NA,"",NA,"","",0.752257,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"610",NA,"passerellailiaca",NA,"",NA,"","",2453.5,"","Horton_2018","","",NA,"",NA,"","",0.753388,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"611",NA,"marecaamericana",NA,"",NA,"","",3222.6,"","Horton_2018","","",NA,"",NA,"","",0.7546,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"612",NA,"zonotrichiaquerula",NA,"",NA,"","",3195,"","Horton_2018","","",NA,"",NA,"","",0.7928755,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"613",NA,"aythyaaffinis",NA,"",NA,"","",3673.7,"","Horton_2018","","",NA,"",NA,"","",0.8195,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"614",NA,"loxiacurvirostra",NA,"",NA,"","",456,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.820588,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"615",NA,"pheucticusmelanocephalus",NA,"",NA,"","",1910,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.857687,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"616",NA,"clangulahyemalis",NA,"",NA,"","",5000,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.87,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"617",NA,"ardeaalba",NA,"",NA,"","",192,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.874,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"618",NA,"petromyzonmarinus",NA,"",NA,"","",280,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.88,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"619",NA,"nycticoraxnycticorax",NA,"",NA,"","",1035,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.883,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"620",NA,"aythyaferina",NA,"",NA,"","",7500,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.9,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"621",NA,"philemoncitreogularis",NA,"",NA,"","",2400,"","Hein_Gillooly_2011","","",NA,"",NA,"","",0.929493,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"622","Anas acuta","anasacuta",NA,"",NA,"","",3217.1,"","Horton_2018","","",NA,"",NA,"","",0.94,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"AVES","Anas acuta"
"623",NA,"spizellabreweri",NA,"",NA,"","",1799,"","La Sorte et al. 2016","","",NA,"",NA,"","",0.951816,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"624",NA,"toxostomarufum",NA,"",NA,"","",942.4,"","Horton_2018","","",NA,"",NA,"","",0.9523395,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"625",NA,"pleuronectesplatessa",NA,"",NA,"","",280,"","Hein_Gillooly_2011","","",NA,"",NA,"","",1,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"626",NA,"empidonaxhammondii",NA,"",NA,"","",3775,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.019072,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"627",NA,"aythyaamericana",NA,"",NA,"","",2024,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.045,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
"628",NA,"spizellaatrogularis",NA,"",NA,"","",273,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.049218,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"629",NA,"empidonaxdifficilis",NA,"",NA,"","",3274,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.067253,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"630",NA,"vireovicinior",NA,"",NA,"","",747,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.093295,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"631",NA,"contopussordidulus",NA,"",NA,"","",6200,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.096785,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"632",NA,"empidonaxoccidentalis",NA,"",NA,"","",1767,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.09749,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"633",NA,"amphispizabilineata",NA,"",NA,"","",456,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.138162,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"634",NA,"empidonaxoberholseri",NA,"",NA,"","",2696,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.146932,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"635",NA,"tachycinetathalassina",NA,"",NA,"","",2793,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.150689,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"636",NA,"passerinaamoena",NA,"",NA,"","",2263,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.180353,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"637",NA,"tadornaferruginea",NA,"",NA,"","",3800,"","Hein_Gillooly_2011","","",NA,"",NA,"","",1.2,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"NA",NA
"638",NA,"aythyavalisineria",NA,"",NA,"","",2656.3,"","Horton_2018","","",NA,"",NA,"","",1.202,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"639",NA,"vireoplumbeus",NA,"",NA,"","",1605,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.210687,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"640",NA,"vireocassinii",NA,"",NA,"","",2792,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.248449,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"641",NA,"ammodramusbairdii",NA,"",NA,"","",2292,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.263441,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"642",NA,"salpinctesobsoletus",NA,"",NA,"","",709,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.270046,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"643",NA,"anthusrubescens",NA,"",NA,"","",3717,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.318825,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"644",NA,"phainopeplanitens",NA,"",NA,"","",1430,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.319095,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"645",NA,"anthusspragueii",NA,"",NA,"","",2504,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.369976,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"646",NA,"leucostictetephrocotis",NA,"",NA,"","",2538,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.377465,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"647","Branta bernicla","brantabernicla",NA,"",NA,"","",4276,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.4,"Hein_Gillooly_2011","",2,"","","","","","","",NA,NA,NA,"AVES","Branta bernicla"
"648",NA,"leucosticteatrata",NA,"",NA,"","",276,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.402254,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"649",NA,"sialiamexicana",NA,"",NA,"","",503,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.422294,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"650",NA,"pipilochlorurus",NA,"",NA,"","",1405,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.465373,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"651",NA,"catharusminimus",NA,"",NA,"","",7631,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.466827,"","",2,"","","","","","","",NA,NA,NA,"NA",NA
"652",NA,"cathartesaura",NA,"",NA,"","",1490,"","La Sorte et al. 2016","","",NA,"",NA,"","",1.467,"Bestetal_1996","",2,"","","","","","","",NA,NA,NA,"NA",NA
